Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
Kepler-1493,,19 14 11.80,+38 33 54.8,,,1.9,0.06,GAIADR2,5863.0,80.0,4.24,0.13,,,,,0.06,0.08,1.1,0.12,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1494,,18 50 37.78,+43 09 45.1,,,0.75,0.02,GAIADR2,5659.0,97.0,4.48,0.09,,,,,0.01,0.17,0.94,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1495,,19 04 31.38,+38 46 46.7,,,,,,5831.0,115.0,4.42,0.13,,,,,0.06,0.14,1.02,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1496,,19 35 53.74,+45 21 02.5,,,0.74,0.02,GAIADR2,6182.0,173.0,4.29,0.18,,,,,0.05,0.14,1.2,0.18,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1497,,19 44 47.07,+45 38 03.6,,,0.05,0.16,GAIADR2,5675.0,164.0,4.47,0.1,,,,,0.01,0.15,0.94,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1498,,18 59 06.75,+44 55 00.4,,,1.05,0.11,GAIADR2,5256.0,59.0,4.56,0.05,,,,,-0.01,0.15,0.82,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1499,,18 55 56.72,+41 39 01.5,,,3.2,0.02,GAIADR2,5042.0,60.0,4.62,0.1,,,,,0.19,0.04,0.8,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6265665
Kepler-15,,19 44 48.14,+49 08 24.34,13.8,,1.32,0.02,GAIADR2,5662.0,60.0,4.19,0.1,,,,,0.27,0.04,1.12,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11359879
Kepler-150,,19 12 56.18,+40 31 15.26,,,1.09,0.02,GAIADR2,5588.0,60.0,4.58,0.1,,,,,0.12,0.04,0.92,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 5351250
Kepler-1500,,19 15 32.00,+39 44 40.5,,,0.79,0.02,GAIADR2,5845.0,131.0,4.44,0.11,,,,,-0.05,0.17,0.98,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1501,,19 19 40.44,+42 00 05.2,,,1.31,0.01,GAIADR2,6015.0,60.0,4.31,0.1,,,,,-0.15,0.04,1.05,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6599975
Kepler-1502,,19 44 25.90,+39 19 11.7,,,0.63,0.02,GAIADR2,6666.0,296.0,4.13,0.17,,,,,0.05,0.14,1.45,0.18,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1503,,19 34 54.52,+42 48 24.3,,,0.79,0.04,GAIADR2,5069.0,84.0,4.59,0.05,,,,,-0.19,0.22,0.75,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1504,,19 18 50.88,+50 07 41.6,,,0.38,0.03,GAIADR2,5393.0,90.0,4.55,0.07,,,,,-0.17,0.19,0.82,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1505,,19 28 00.49,+41 47 13.1,,,1.99,0.03,GAIADR2,5525.0,60.0,4.5,0.1,,,,,-0.29,0.04,0.84,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6364582
Kepler-1506,,19 20 35.97,+41 27 52.5,,,0.39,0.03,GAIADR2,5676.0,97.0,4.49,0.08,,,,,-0.05,0.17,0.92,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1507,,19 14 14.77,+46 32 09.8,,,3.09,0.01,GAIADR2,5296.0,60.0,4.56,0.1,,,,,0.05,0.04,0.84,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9763612
Kepler-1508,,19 52 28.53,+40 22 30.2,,,0.77,0.02,GAIADR2,6158.0,287.0,4.32,0.18,,,,,0.01,0.15,1.17,0.19,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1509,,18 55 11.48,+46 55 51.6,,,0.47,0.02,GAIADR2,5780.0,74.0,4.45,0.1,,,,,0.03,0.15,0.98,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-151,,19 28 39.07,+41 01 23.65,,,1.51,0.02,GAIADR2,5460.0,200.0,4.56,0.3,,,,,-0.1,0.5,0.89,0.15,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,,Kepler-151
Kepler-1510,,19 55 50.19,+48 15 28.2,,,0.56,0.03,GAIADR2,6200.0,200.0,4.29,0.17,,,,,0.04,0.14,1.2,0.18,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1511,,19 13 41.09,+43 10 47.3,,,0.65,0.02,GAIADR2,6064.0,79.0,4.28,0.18,,,,,0.14,0.15,1.2,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1512,,19 17 05.88,+44 28 12.9,,,3.17,0.24,GAIADR2,4807.0,60.0,4.68,0.1,,,,,0.1,0.04,0.74,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,M3V,KIC 8424002
Kepler-1513,,19 19 09.99,+39 17 07.0,,,2.83,0.02,GAIADR2,5468.0,60.0,4.45,0.1,,,,,0.16,0.04,0.92,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 4150804
Kepler-1514,,19 30 30.59,+37 51 36.5,11.77,0.16,2.49,0.03,GAIADR2,6194.0,60.0,4.29,0.1,,,,,0.12,0.04,1.22,0.13,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 2581316
Kepler-1515,,19 23 53.74,+48 10 41.4,12.1,0.18,1.83,0.02,GAIADR2,6338.0,60.0,4.27,0.1,,,,,-0.03,0.04,1.23,0.13,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10795103
Kepler-1516,,19 25 58.70,+44 31 24.6,,,0.71,0.02,GAIADR2,5904.0,117.0,4.4,0.11,,,,,0.03,0.16,1.04,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1517,,19 11 13.73,+43 11 19.6,12.23,0.21,1.15,0.02,GAIADR2,7010.0,115.0,4.06,0.15,,,,,0.01,0.15,1.58,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1518,,20 01 19.77,+44 59 10.1,,,1.08,0.01,GAIADR2,6846.0,305.0,4.08,0.17,,,,,0.06,0.16,1.54,0.2,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1519,,19 46 40.30,+49 27 42.7,,,0.67,0.02,GAIADR2,5644.0,125.0,4.5,0.08,,,,,-0.07,0.17,0.91,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-152,,19 07 27.71,+41 59 20.71,,,2.24,0.02,GAIADR2,5065.0,60.0,4.61,0.1,,,,,-0.12,0.04,0.76,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6508221
Kepler-1521,,19 30 45.67,+37 50 06.0,,,4.8,0.03,GAIADR2,5013.0,60.0,4.7,0.1,,,,,0.04,0.04,0.76,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 2581554
Kepler-1522,,19 19 22.37,+52 04 12.6,,,1.2,0.02,GAIADR2,5706.0,116.0,4.49,0.08,,,,,-0.07,0.17,0.93,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1523,,19 44 12.97,+45 49 37.4,,,1.13,0.02,GAIADR2,5568.0,60.0,4.44,0.1,,,,,0.15,0.04,0.95,0.08,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9353742
Kepler-1524,,19 35 32.50,+39 31 11.3,,,2.59,0.02,GAIADR2,6179.0,179.0,4.31,0.17,,,,,0.04,0.15,1.19,0.17,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1525,,19 22 14.28,+49 56 34.9,,,2.58,0.02,GAIADR2,5605.0,60.0,4.27,0.1,,,,,0.25,0.04,1.05,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11760860
Kepler-1526,,19 00 28.73,+38 51 59.1,,,1.77,0.03,GAIADR2,4601.0,81.0,4.62,0.03,,,,,-0.01,0.14,0.69,0.03,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1527,,19 49 39.46,+46 03 38.9,,,0.52,0.03,GAIADR2,6224.0,139.0,4.27,0.17,,,,,0.07,0.14,1.24,0.18,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1528,,19 09 36.71,+46 34 26.3,,,1.19,0.02,GAIADR2,5857.0,90.0,4.43,0.1,,,,,0.03,0.15,1.02,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1529,,19 19 28.97,+41 02 26.6,,,1.48,0.03,GAIADR2,5048.0,81.0,4.58,0.04,,,,,-0.03,0.14,0.77,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-153,,18 49 50.52,+48 15 25.62,,,2.15,0.02,GAIADR2,5178.0,60.0,4.74,0.1,,,,,-0.27,0.04,0.75,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10843590
Kepler-1530,,19 12 39.00,+48 09 54.6,14.22,0.01,2.01,0.02,GAIADR2,5370.0,60.0,4.61,0.1,,,,,0.07,0.04,0.85,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10788461
Kepler-1531,,19 00 35.18,+39 22 14.9,,,1.47,0.01,GAIADR2,6183.0,60.0,4.3,0.1,,,,,-0.05,0.04,1.15,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 4242692
Kepler-1532,,19 47 36.68,+41 11 53.5,,,1.22,0.02,GAIADR2,5559.0,102.0,4.51,0.08,,,,,-0.1,0.17,0.88,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1533,,19 43 54.13,+44 42 48.4,,,1.01,0.02,GAIADR2,6320.0,60.0,4.15,0.1,,,,,-0.22,0.04,1.22,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8636434
Kepler-1534,,19 29 34.89,+43 52 08.7,,,,,,5442.0,120.0,4.52,0.07,,,,,-0.01,0.15,0.87,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1535,,19 06 27.29,+38 53 31.1,,,1.09,0.02,GAIADR2,6021.0,93.0,4.38,0.07,,,,,0.0,0.08,1.07,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1536,,19 26 20.44,+45 42 56.8,,,2.55,0.03,GAIADR2,4434.0,73.0,4.64,0.02,,,,,0.05,0.18,0.67,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1537,,19 37 32.50,+43 49 31.7,,,1.9,0.02,GAIADR2,5079.0,92.0,4.58,0.04,,,,,-0.08,0.16,0.77,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1538,,18 53 22.97,+45 16 28.0,,,0.86,0.02,GAIADR2,5837.0,70.0,4.42,0.12,,,,,0.02,0.15,1.01,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1539,,18 56 52.66,+44 16 06.8,,,1.31,0.03,GAIADR2,5176.0,56.0,4.57,0.04,,,,,-0.01,0.16,0.8,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-154,,19 19 7.32,+49 53 47.51,14.57,0.07,1.06,0.02,GAIADR2,5666.0,60.0,4.35,0.1,,,,,0.02,0.04,0.98,0.08,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11709124
Kepler-1540,,18 53 22.68,+41 12 06.3,14.51,0.01,4.05,0.01,GAIADR2,4540.0,78.0,4.63,0.01,,,,,0.1,0.17,0.7,0.03,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1541,,18 55 08.88,+48 01 46.4,,,2.37,0.01,GAIADR2,5210.0,60.0,4.57,0.1,,,,,-0.07,0.04,0.8,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10714072
Kepler-1542,,19 02 54.84,+42 39 16.3,,,2.48,0.02,GAIADR2,5544.0,60.0,4.26,0.1,,,,,0.07,0.04,0.98,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7100673
Kepler-1543,,19 48 29.83,+47 02 13.3,,,1.06,0.02,GAIADR2,6561.0,159.0,4.14,0.2,,,,,0.07,0.14,1.42,0.17,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1544,,19 49 08.40,+49 12 44.8,,,2.96,0.01,GAIADR2,4852.0,60.0,4.61,0.1,,,,,0.01,0.04,0.74,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11415243
Kepler-1545,,19 55 35.70,+47 27 47.1,,,1.34,0.02,GAIADR2,5201.0,110.0,4.57,0.04,,,,,-0.06,0.15,0.8,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1546,,19 50 20.15,+41 32 28.4,,,1.04,0.03,GAIADR2,5623.0,292.0,4.48,0.1,,,,,0.01,0.16,0.93,0.12,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1547,,18 55 03.38,+42 13 19.8,,,1.45,0.01,GAIADR2,5839.0,60.0,4.25,0.1,,,,,0.12,0.04,1.11,0.11,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6755944
Kepler-1548,,19 09 53.10,+46 04 50.4,,,1.12,0.02,GAIADR2,5706.0,70.0,4.46,0.1,,,,,0.05,0.15,0.96,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1549,,19 04 12.58,+39 05 45.8,,,1.22,0.02,GAIADR2,5324.0,113.0,4.54,0.06,,,,,0.02,0.15,0.84,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-155,,19 13 59.0,+51 04 55.01,,,3.38,0.03,GAIADR2,4508.0,100.0,4.68,0.15,,,,,-0.04,0.1,0.68,0.06,Rowe et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,2018-07-30,M0V,Kepler-155
Kepler-1550,,19 11 03.49,+38 17 40.9,,,0.82,0.02,GAIADR2,5991.0,160.0,4.38,0.12,,,,,0.01,0.15,1.07,0.13,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1551,,19 43 08.52,+39 54 28.5,,,0.66,0.02,GAIADR2,6136.0,203.0,4.32,0.15,,,,,0.01,0.15,1.15,0.16,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1552,,19 26 42.44,+38 52 29.7,,,1.27,0.02,GAIADR2,5270.0,60.0,4.67,0.1,,,,,-0.02,0.04,0.81,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3747817
Kepler-1553,,19 27 40.60,+39 01 20.2,,,1.42,0.02,GAIADR2,5288.0,82.0,4.56,0.06,,,,,-0.09,0.16,0.81,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1554,,19 06 18.28,+41 44 29.3,,,1.03,0.03,GAIADR2,5120.0,60.0,4.57,0.1,,,,,-0.46,0.04,0.73,0.03,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6349881
Kepler-1555,,19 10 32.51,+45 42 57.8,,,0.47,0.03,GAIADR2,5866.0,77.0,4.4,0.14,,,,,0.03,0.16,1.03,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1556,,19 13 35.28,+40 12 47.5,,,1.03,0.03,GAIADR2,5608.0,80.0,4.47,0.1,,,,,0.08,0.16,0.94,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1557,,19 35 31.54,+46 50 20.0,,,0.7,0.02,GAIADR2,6099.0,151.0,4.34,0.15,,,,,0.02,0.15,1.13,0.15,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1558,,19 07 16.65,+46 54 42.1,,,3.04,0.01,GAIADR2,5091.0,60.0,4.64,0.1,,,,,0.24,0.04,0.82,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10000941
Kepler-1559,,19 29 08.78,+42 04 20.8,,,1.6,0.03,GAIADR2,5223.0,60.0,4.44,0.1,,,,,0.13,0.04,0.85,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6607644
Kepler-156,,19 21 11.16,+37 44 58.16,,,2.23,0.02,GAIADR2,5078.0,60.0,4.54,0.1,,,,,0.17,0.04,0.81,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 2438264
Kepler-1560,,19 31 08.31,+43 12 57.5,,,1.96,0.02,GAIADR2,5766.0,60.0,4.5,0.1,,,,,0.24,0.04,1.02,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7610663
Kepler-1561,,19 47 41.66,+43 33 59.3,,,1.16,0.03,GAIADR2,5957.0,215.0,4.38,0.14,,,,,0.04,0.15,1.07,0.14,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1562,,19 37 49.37,+46 44 37.0,,,0.46,0.02,GAIADR2,5760.0,68.0,4.41,0.15,,,,,0.11,0.14,1.02,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1563,,19 14 17.66,+51 28 21.9,,,0.59,0.29,GAIADR2,5650.0,60.0,4.05,0.1,,,,,0.3,0.04,1.22,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 12505503
Kepler-1564,,19 22 20.67,+46 38 33.7,,,1.07,0.02,GAIADR2,5528.0,83.0,4.5,0.08,,,,,0.03,0.15,0.9,0.08,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1565,,19 51 48.71,+40 48 24.5,,,1.56,0.03,GAIADR2,4940.0,67.0,4.6,0.04,,,,,-0.16,0.2,0.73,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1566,,18 54 21.03,+40 34 29.7,,,2.11,0.02,GAIADR2,5109.0,60.0,4.64,0.1,,,,,-0.13,0.04,0.76,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 5340878
Kepler-1567,,19 06 46.85,+40 17 30.5,,,0.8,0.03,GAIADR2,5655.0,158.0,4.49,0.08,,,,,-0.03,0.15,0.92,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1568,,19 16 43.84,+47 52 24.2,,,1.06,0.02,GAIADR2,5848.0,60.0,4.18,0.1,,,,,0.13,0.04,1.15,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10593535
Kepler-1569,,19 28 49.13,+37 13 16.4,,,1.03,0.02,GAIADR2,6173.0,60.0,4.36,0.1,,,,,0.1,0.04,1.17,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 1724719
Kepler-157,,19 24 23.33,+38 52 32.20,,,1.26,0.02,GAIADR2,5790.0,60.0,4.34,0.1,,,,,-0.04,0.04,1.0,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 3745690
Kepler-1570,,19 59 26.84,+45 49 38.5,,,1.06,0.02,GAIADR2,5366.0,60.0,3.93,0.1,,,,,-0.28,0.04,0.99,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9366617
Kepler-1571,,20 03 44.50,+45 35 47.6,,,1.45,0.02,GAIADR2,5638.0,60.0,4.59,0.1,,,,,-0.02,0.04,0.9,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9183378
Kepler-1572,,18 47 35.35,+46 43 21.5,,,1.03,0.01,GAIADR2,5818.0,60.0,4.13,0.1,,,,,-0.36,0.04,1.01,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9872831
Kepler-1573,,19 31 57.20,+49 29 05.9,,,0.66,0.03,GAIADR2,5808.0,91.0,4.44,0.1,,,,,0.02,0.15,0.99,0.1,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1574,,19 28 38.08,+49 38 15.9,,,0.69,0.03,GAIADR2,5892.0,96.0,4.4,0.11,,,,,0.08,0.15,1.05,0.11,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1575,,19 34 58.38,+45 45 41.7,,,0.77,0.03,GAIADR2,5667.0,116.0,4.49,0.09,,,,,-0.07,0.17,0.92,0.09,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1576,,19 16 17.75,+40 21 57.7,,,2.14,0.01,GAIADR2,5723.0,60.0,4.62,0.1,,,,,0.28,0.04,1.0,0.08,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 5177859
Kepler-1577,,19 31 49.27,+47 34 23.2,,,1.93,0.03,GAIADR2,4862.0,79.0,4.6,0.03,,,,,0.0,0.16,0.74,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1578,,19 13 12.48,+47 46 32.0,,,0.91,0.03,GAIADR2,5545.0,73.0,4.53,0.07,,,,,-0.13,0.19,0.87,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1579,,19 33 09.12,+43 30 54.0,,,2.7,0.36,GAIADR2,4584.0,67.0,4.63,0.01,,,,,0.11,0.17,0.7,0.03,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-158,,18 56 7.74,+39 46 52.86,,,3.14,0.02,GAIADR2,4617.0,60.0,4.68,0.1,,,,,-0.3,0.04,0.66,0.05,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 4633570
